DATE,CPALTT01AUQ657N
1960-01-01,0
1960-04-01,1.33333333333333
1960-07-01,1.31578947368421
1960-10-01,1.2987012987013
1961-01-01,0
1961-04-01,1.28205128205128
1961-07-01,-1.26582278481013
1961-10-01,0
1962-01-01,0
1962-04-01,0
1962-07-01,0
1962-10-01,0
1963-01-01,0
1963-04-01,0
1963-07-01,1.28205128205128
1963-10-01,0
1964-01-01,1.26582278481013
1964-04-01,0
1964-07-01,1.25
1964-10-01,1.23456790123455
1965-01-01,0
1965-04-01,1.21951219512197
1965-07-01,1.20481927710843
1965-10-01,1.19047619047619
1966-01-01,1.17647058823528
1966-04-01,0
1966-07-01,0
1966-10-01,1.16279069767442
1967-01-01,1.14942528735634
1967-04-01,1.13636363636364
1967-07-01,1.12359550561796
1967-10-01,0
1968-01-01,1.11111111111111
1968-04-01,0
1968-07-01,1.0989010989011
1968-10-01,0
1969-01-01,2.17391304347826
1969-04-01,0
1969-07-01,1.06382978723404
1969-10-01,0
1970-01-01,1.05263157894737
1970-04-01,1.04166666666665
1970-07-01,1.03092783505156
1970-10-01,2.04081632653061
1971-01-01,0.999999999999987
1971-04-01,0.990099009900991
1971-07-01,2.94117647058824
1971-10-01,1.90476190476191
1972-01-01,0.93457943925235
1972-04-01,0.925925925925914
1972-07-01,1.8348623853211
1972-10-01,0.900900900900889
1973-01-01,1.7857142857143
1973-04-01,3.50877192982456
1973-07-01,3.38983050847457
1973-10-01,3.27868852459017
1974-01-01,3.17460317460318
1974-04-01,3.84615384615385
1974-07-01,5.18518518518517
1974-10-01,3.52112676056338
1975-01-01,4.08163265306123
1975-04-01,3.26797385620915
1975-07-01,0.632911392405064
1975-10-01,5.66037735849057
1976-01-01,2.97619047619048
1976-04-01,2.31213872832369
1976-07-01,2.25988700564974
1976-10-01,6.07734806629833
1977-01-01,2.08333333333334
1977-04-01,2.55102040816327
1977-07-01,1.99004975124378
1977-10-01,2.43902439024389
1978-01-01,1.42857142857144
1978-04-01,1.87793427230046
1978-07-01,1.84331797235024
1978-10-01,2.26244343891402
1979-01-01,1.76991150442478
1979-04-01,2.60869565217392
1979-07-01,2.54237288135592
1979-10-01,2.89256198347108
1980-01-01,2.00803212851406
1980-04-01,3.1496062992126
1980-07-01,1.52671755725191
1980-10-01,2.25563909774436
1981-01-01,2.20588235294118
1981-04-01,2.15827338129495
1981-07-01,2.11267605633803
1981-10-01,4.13793103448276
1982-01-01,1.98675496688742
1982-04-01,2.27272727272727
1982-07-01,3.4920634920635
1982-10-01,3.06748466257669
1983-01-01,2.08333333333332
1983-04-01,2.04081632653063
1983-07-01,1.71428571428572
1983-10-01,2.52808988764044
1984-01-01,-0.547945205479453
1984-04-01,0.275482093663912
1984-07-01,1.37362637362638
1984-10-01,1.3550135501355
1985-01-01,1.33689839572193
1985-04-01,2.37467018469656
1985-07-01,2.319587628866
1985-10-01,2.01511335012595
1986-01-01,2.22222222222221
1986-04-01,1.69082125603866
1986-07-01,2.61282660332542
1986-10-01,2.77777777777777
1987-01-01,2.02702702702702
1987-04-01,1.54525386313467
1987-07-01,1.7391304347826
1987-10-01,1.70940170940172
1988-01-01,1.68067226890755
1988-04-01,1.85950413223141
1988-07-01,1.82555780933063
1988-10-01,1.99203187250996
1989-01-01,0.976562500000001
1989-04-01,2.51450676982592
1989-07-01,2.26415094339623
1989-10-01,1.8450184501845
1990-01-01,1.81159420289855
1990-04-01,1.60142348754449
1990-07-01,0.700525394045535
1990-10-01,2.6086956521739
1991-01-01,-0.169491525423729
1991-04-01,0.169779286926995
1991-07-01,0.508474576271187
1991-10-01,1.01180438448567
1992-01-01,0
1992-04-01,-0.333889816360583
1992-07-01,0.167504187604672
1992-10-01,0.501672240802676
1993-01-01,0.831946755407655
1993-04-01,0.33003300330033
1993-07-01,0.493421052631579
1993-10-01,0.16366612111293
1994-01-01,0.490196078431373
1994-04-01,0.650406504065041
1994-07-01,0.646203554119548
1994-10-01,0.802568218298556
1995-01-01,1.59235668789809
1995-04-01,1.41065830721003
1995-07-01,1.23647604327666
1995-10-01,0.763358778625955
1996-01-01,0.303030303030303
1996-04-01,0.755287009063445
1996-07-01,0.299850074962519
1996-10-01,0.149476831091181
1997-01-01,0.149253731343267
1997-04-01,-0.298062593144544
1997-07-01,-0.44843049327356
1997-10-01,0.300300300300317
1998-01-01,0.299401197604791
1998-04-01,0.597014925373135
1998-07-01,0.148367952522255
1998-10-01,0.444444444444428
1999-01-01,0
1999-04-01,0.442477876106195
1999-07-01,0.881057268722484
1999-10-01,0.582241630276549
2000-01-01,0.868306801736631
2000-04-01,0.717360114777619
2000-07-01,3.84615384615385
2000-10-01,0.274348422496556
2001-01-01,1.09439124487006
2001-04-01,0.811907983761826
2001-07-01,0.268456375838926
2001-10-01,0.937081659973242
2002-01-01,0.928381962864707
2002-04-01,0.657030223390276
2002-07-01,0.652741514360299
2002-10-01,0.648508430609599
2003-01-01,1.28865979381443
2003-04-01,0
2003-07-01,0.636132315521629
2003-10-01,0.505689001264237
2004-01-01,0.880503144654089
2004-04-01,0.498753117206969
2004-07-01,0.37220843672458
2004-10-01,0.741656365883808
2005-01-01,0.736196319018392
2005-04-01,0.609013398294763
2005-07-01,0.968523002421322
2005-10-01,0.479616306954424
2006-01-01,0.835322195704058
2006-04-01,1.65680473372783
2006-07-01,0.931315483119895
2006-10-01,-0.115340253748558
2007-01-01,0
2007-04-01,1.270207852194
2007-07-01,0.684150513112886
2007-10-01,0.906002265005663
2008-01-01,1.34680134680135
2008-04-01,1.43964562569213
2008-07-01,1.20087336244543
2008-10-01,-0.323624595469256
2009-01-01,0.108225108225108
2009-04-01,0.432432432432433
2009-07-01,0.968783638320764
2009-10-01,0.533049040511728
2010-01-01,0.954400848356322
2010-04-01,0.630252100840325
2010-07-01,0.730688935281838
2010-10-01,0.414507772020737
2011-01-01,1.44478844169246
2011-04-01,0.915564598168883
2011-07-01,0.604838709677409
2011-10-01,0
2012-01-01,0.100200400801614
2012-04-01,0.50050050050049
2012-07-01,1.39442231075697
2012-10-01,0.196463654223969
2013-01-01,0.392156862745098
2013-04-01,0.390625
2013-07-01,1.16731517509728
2013-10-01,0.76923076923077
2014-01-01,0.572519083969466
2014-04-01,0.474383301707791
2014-07-01,0.472143531633606
2014-10-01,0.18796992481203
2015-01-01,0.187617260787993
2015-04-01,0.655430711610477
2015-07-01,0.465116279069778
2015-10-01,0.370370370370371
2016-01-01,-0.18450184501845
2016-04-01,0.369685767097967
2016-07-01,0.736648250460406
2016-10-01,0.548446069469836
2017-01-01,0.454545454545445
2017-04-01,0.180995475113122
2017-07-01,0.632339656729911
2017-10-01,0.628366247755825
2018-01-01,0.446030330062435
2018-04-01,0.355239786856148
2018-07-01,0.442477876106185
2018-10-01,0.528634361233481
2019-01-01,0.0
2019-04-01,0.613496932515328
2019-07-01,0.522648083623713
2019-10-01,0.693240901213172
2020-01-01,0.344234079173819
